brand,car_model
吉利汽车,10
上汽大众,10
上汽通用五菱,9
众泰汽车,8
上汽集团,7
一汽大众,7
长城汽车,7
北京现代,7
一汽-大众奥迪,6
东风标致,6
上汽斯柯达,6
一汽丰田,6
江淮汽车,6
东风日产,5
奇瑞汽车,5
长安汽车,5
广汽本田,4
东风本田,4
一汽奔腾,4
北京奔驰,3
华晨宝马,3
东风雪铁龙,3
广汽丰田,3
奔驰（进口）,3
吉利新能源,3
广汽三菱,2
北京汽车,2
长安马自达,2
一汽吉林,2
长安铃木,2
一汽解放,2
一汽马自达,2
福田汽车,2
东南汽车,2
东风乘用车,2
东风悦达起亚,2
江铃福特,2
宝马（进口）,2
力帆汽车,2
汉腾汽车,2
江铃汽车,2
领克汽车,2
南京依维柯,2
奇瑞捷豹路虎,2
星途,2
雷克萨斯,2
大众（进口）,2
广汽乘用车,2
宝沃汽车,2
长安标致雪铁龙DS,1
一汽红旗,1
东风小康,1
奇瑞新能源,1
奥迪（进口）,1
观致汽车,1
绵阳金杯,1
玛莎拉蒂,1
天津一汽,1
开瑞汽车,1
华晨中华,1
多士星,1
北汽昌河,1
沃尔沃（进口）,1
沃尔沃亚太,1
东风英菲尼迪,1
东风裕隆,1
东风雷诺,1
东风风行,1
凯翼汽车,1
华晨鑫源,1
林肯（进口）,1
比亚迪,1
北汽新能源,1
猎豹汽车,1
