brand,car_model,Problem_Count
一汽马自达,阿特兹,2
江淮汽车,江淮iEV6E,1
一汽马自达,阿特兹,3
一汽大众,迈腾,2
众泰汽车,众泰T600 Coupe,1
众泰汽车,众泰T600 Coupe,1
吉利汽车,帝豪,5
吉利汽车,博瑞,2
一汽吉林,森雅R7,2
大众（进口）,高尔夫（进口）,2
北京现代,途胜,3
东南汽车,V3菱悦,1
吉利汽车,博越,1
广汽乘用车,传祺GA3S视界,1
长安汽车,长安CS75 PLUS,1
上汽通用五菱,五菱宏光,2
长城汽车,哈弗M6,1
上汽集团,名爵6,1
长安马自达,马自达3 昂克赛拉,3
一汽奔腾,奔腾B50,2
吉利汽车,远景,1
上汽大众,凌渡,1
江淮汽车,嘉悦A5,4
上汽斯柯达,速派,2
一汽-大众奥迪,奥迪Q3,2
吉利汽车,星越,3
宝沃汽车,宝沃BX5,2
南京依维柯,依维柯得意,4
奇瑞汽车,瑞虎8,2
多士星,箱货,1
奇瑞捷豹路虎,捷豹XFL,2
广汽丰田,汉兰达,1
南京依维柯,依维柯得意,2
上汽大众,朗逸,1
一汽大众,探岳,1
一汽马自达,马自达CX-4,1
吉利汽车,博越,3
东风标致,标致3008,1
奔驰（进口）,奔驰GLS,3
长安标致雪铁龙DS,DS5,2
上汽通用五菱,宝骏E200,2
上汽集团,名爵ZS,4
吉利汽车,星越,2
一汽马自达,阿特兹,2
吉利汽车,帝豪GS,3
吉利汽车,嘉际,2
上汽大众,凌渡,2
东风雪铁龙,雪铁龙C5,1
一汽大众,速腾,1
一汽-大众奥迪,奥迪A4L,1
大众（进口）,甲壳虫,5
上汽斯柯达,柯迪亚克,4
一汽大众,速腾,1
吉利汽车,帝豪,3
吉利汽车,远景X6,1
华晨宝马,宝马3系,2
广汽三菱,欧蓝德,8
一汽马自达,马自达CX-4,3
东风标致,标致408,2
北京现代,途胜,2
吉利新能源,星越新能源,4
吉利新能源,帝豪新能源,3
江铃福特,撼路者,2
吉利汽车,帝豪GL,1
领克汽车,领克01,2
一汽丰田,卡罗拉,2
观致汽车,观致5,2
东风日产,天籁,5
广汽本田,飞度,1
一汽马自达,马自达CX-4,1
吉利汽车,星越,3
一汽马自达,阿特兹,2
吉利汽车,星越,2
一汽-大众奥迪,奥迪A4L,2
奇瑞汽车,捷途X90,2
长城汽车,哈弗H5,1
上汽大众,凌渡,3
一汽大众,迈腾,3
一汽马自达,马自达CX-4,3
众泰汽车,众泰E200,1
东风日产,逍客,2
东风裕隆,U5 SUV,2
一汽马自达,阿特兹,2
北京现代,领动,3
一汽马自达,阿特兹,4
一汽马自达,阿特兹,3
江铃汽车,特顺新能源,1
一汽-大众奥迪,奥迪A3,1
吉利汽车,缤越,1
一汽马自达,阿特兹,2
一汽马自达,阿特兹,2
一汽马自达,马自达CX-4,2
一汽马自达,阿特兹,2
一汽马自达,阿特兹,4
一汽大众,速腾,1
一汽大众,T-ROC探歌,1
上汽通用五菱,新宝骏RM-5,3
北京现代,途胜,1
东风雪铁龙,雪铁龙C4L,1
一汽-大众奥迪,奥迪A6L,3
一汽马自达,阿特兹,2
一汽-大众奥迪,奥迪Q3,1
东风本田,本田CR-V,1
吉利汽车,星越,2
一汽马自达,阿特兹,2
一汽马自达,马自达CX-4,2
上汽集团,荣威RX5 MAX,5
一汽马自达,阿特兹,4
吉利汽车,星越,3
一汽马自达,阿特兹,2
一汽马自达,马自达CX-4,2
江铃福特,领界,1
一汽马自达,阿特兹,3
上汽大众,途昂,1
上汽大众,帕萨特新能源,2
奇瑞汽车,艾瑞泽GX,4
吉利汽车,星越,2
吉利汽车,缤越,3
众泰汽车,众泰T500,3
吉利汽车,星越,1
吉利汽车,星越,2
上汽集团,荣威RX5 MAX,2
吉利汽车,星越,2
一汽马自达,阿特兹,3
吉利汽车,博越,1
吉利汽车,星越,2
众泰汽车,众泰T600,2
一汽马自达,马自达CX-4,4
福田汽车,欧马可,1
吉利汽车,星越,2
一汽马自达,阿特兹,2
东风标致,标致408,1
一汽大众,迈腾,2
一汽奔腾,奔腾X40,1
一汽大众,捷达VS5,2
长城汽车,哈弗H6 Coupe,2
广汽本田,飞度,1
吉利汽车,博越,1
上汽斯柯达,柯珞克,2
一汽马自达,阿特兹,1
一汽马自达,马自达CX-4,3
上汽斯柯达,速派,1
众泰汽车,众泰T700,4
东风标致,标致408,2
吉利汽车,嘉际,1
吉利汽车,缤越,2
一汽马自达,阿特兹,4
沃尔沃（进口）,沃尔沃S60,1
吉利汽车,博越,4
绵阳金杯,智尚S30,1
东风雪铁龙,雪铁龙C4L,2
一汽马自达,阿特兹,1
江淮汽车,瑞风A60,2
广汽本田,飞度,1
北京奔驰,奔驰GLC,3
华晨中华,中华V7,3
一汽马自达,阿特兹,1
一汽丰田,卡罗拉,1
福田汽车,时代金刚,1
北京汽车,绅宝X35,5
一汽大众,高尔夫,1
一汽大众,速腾,1
华晨宝马,宝马5系,1
吉利汽车,星越,2
一汽大众,速腾,1
一汽马自达,阿特兹,2
一汽大众,T-ROC探歌,1
一汽大众,高尔夫,1
一汽马自达,阿特兹,1
一汽马自达,阿特兹,1
上汽集团,名爵3,1
一汽马自达,阿特兹,1
一汽马自达,马自达CX-4,2
吉利汽车,帝豪,1
吉利汽车,博瑞,2
东风雪铁龙,C4世嘉,2
上汽大众,途安,1
东风日产,逍客,1
吉利汽车,星越,3
北京现代,悦纳,1
上汽集团,名爵6,1
上汽集团,荣威Ei5,1
一汽大众,速腾,2
东南汽车,东南DX3,1
上汽通用五菱,宝骏630,1
华晨宝马,宝马X3,3
一汽大众,探岳,1
一汽大众,探岳,1
一汽大众,迈腾,2
众泰汽车,众泰SR7,1
一汽大众,速腾,1
力帆汽车,力帆650EV,1
一汽-大众奥迪,奥迪A6L,3
广汽本田,飞度,1
一汽马自达,阿特兹,2
一汽马自达,阿特兹,2
长安马自达,马自达CX-5,2
上汽通用五菱,五菱荣光V,1
一汽大众,探岳,1
一汽-大众奥迪,奥迪Q3,1
东风悦达起亚,智跑,1
宝马（进口）,宝马X5,2
东风本田,哥瑞,1
江铃福特,领界,2
长城汽车,哈弗H6 Coupe,1
吉利汽车,博越,1
吉利汽车,星越,2
力帆汽车,迈威,1
北汽新能源,北汽新能源EC,3
吉利汽车,缤越,2
广汽三菱,欧蓝德,1
广汽本田,皓影,1
一汽丰田,亚洲龙,1
北京现代,悦动,3
一汽-大众奥迪,奥迪Q3,1
华晨鑫源,海狮X30L,4
上汽大众,朗逸,1
一汽-大众奥迪,奥迪A4L,3
一汽-大众奥迪,奥迪Q5L,1
东风本田,本田CR-V,1
广汽丰田,雷凌,1
一汽马自达,阿特兹,2
广汽丰田,凯美瑞,1
广汽丰田,凯美瑞,1
吉利汽车,星越,3
汉腾汽车,汉腾X7,2
一汽丰田,锐志,2
东风标致,标致308,1
长城汽车,长城C50,1
东风乘用车,风神AX7,3
林肯（进口）,林肯MKC,2
吉利汽车,帝豪,1
上汽大众,朗逸,2
众泰汽车,众泰SR9,3
吉利汽车,博越,1
广汽丰田,凯美瑞,1
长城汽车,哈弗H5,3
星途,星途TX,2
上汽通用五菱,五菱荣光新卡,1
猎豹汽车,猎豹CS10,2
东风本田,本田CR-V,1
一汽丰田,RAV4荣放,2
一汽马自达,阿特兹,2
上汽大众,Polo,1
吉利新能源,博瑞新能源,1
一汽马自达,阿特兹,2
吉利汽车,帝豪,2
奇瑞汽车,瑞虎7,1
一汽马自达,阿特兹,3
东风标致,标致2008,2
东风雷诺,科雷嘉,2
一汽马自达,阿特兹,1
一汽马自达,马自达CX-4,2
东风小康,风光330,1
吉利汽车,星越,2
上汽大众,朗逸,1
上汽大众,朗逸,1
吉利汽车,缤越,2
一汽大众,迈腾,2
东风标致,标致308,2
东风日产,逍客,1
江淮汽车,瑞风S3,1
一汽大众,捷达VS5,2
一汽丰田,亚洲龙,1
上汽大众,凌渡,1
东风日产,骐达TIIDA,2
东风日产,逍客,2
一汽大众,速腾,2
吉利汽车,博瑞,1
上汽集团,名爵6,1
东风本田,INSPIRE,2
一汽马自达,阿特兹,1
吉利汽车,缤越,1
上汽通用五菱,五菱宏光V,2
一汽马自达,马自达CX-4,1
汉腾汽车,汉腾X5,2
一汽马自达,阿特兹,1
吉利汽车,帝豪GL,1
宝沃汽车,宝沃BX7,1
广汽本田,雅阁,1
上汽斯柯达,速派,1
上汽斯柯达,柯迪亚克GT,1
上汽大众,途昂,2
奇瑞汽车,捷途X90,3
东风雷诺,科雷嘉,2
一汽马自达,阿特兹,1
一汽奔腾,奔腾T77,1
众泰汽车,众泰T700,2
东风本田,本田XR-V,1
吉利汽车,博越,2
东风悦达起亚,智跑,1
吉利汽车,帝豪GL,3
奔驰（进口）,奔驰S级,3
长城汽车,哈弗H2,1
一汽马自达,马自达CX-4,1
吉利汽车,星越,2
华晨中华,中华V7,2
一汽大众,宝来,1
一汽马自达,阿特兹,2
广汽本田,锋范经典,1
一汽大众,T-ROC探歌,1
一汽马自达,阿特兹,2
广汽三菱,欧蓝德,2
吉利汽车,缤越,3
吉利汽车,博瑞,3
一汽大众,探岳,1
一汽大众,速腾,2
一汽马自达,马自达CX-4,1
一汽-大众奥迪,奥迪A6L,2
一汽大众,迈腾,1
吉利汽车,星越,1
北京现代,名图,1
吉利新能源,帝豪新能源,1
吉利汽车,嘉际,3
领克汽车,领克02,1
长安马自达,马自达3 昂克赛拉,4
东风标致,标致5008,1
上汽大众,朗逸,1
长城汽车,哈弗M6,3
上汽斯柯达,速派,1
吉利汽车,星越,2
一汽马自达,阿特兹,3
吉利汽车,博越,2
上汽大众,桑塔纳,1
东风风行,风行T5L,2
北京现代,领动,1
江淮汽车,江淮iEVS4,2
江淮汽车,瑞风M3,3
奇瑞新能源,奇瑞eQ,1
一汽马自达,阿特兹,2
东风标致,标致408,1
东风本田,本田XR-V,1
吉利汽车,星越,3
吉利汽车,星越,2
吉利汽车,博越,1
领克汽车,领克01,1
东风标致,标致408,3
长安汽车,长安欧尚X7,4
长安马自达,马自达3 昂克赛拉,1
东风乘用车,奕炫,1
上汽大众,凌渡,2
长安铃木,启悦,1
吉利汽车,帝豪GS,1
吉利汽车,博越,1
开瑞汽车,优优EV,1
吉利汽车,帝豪GL,2
东风标致,标致4008,2
长安汽车,悦翔,1
上汽大众,途观L,1
一汽大众,迈腾,6
一汽大众,速腾,2
长安汽车,睿骋CC,1
北京奔驰,奔驰GLK,1
雷克萨斯,雷克萨斯LS,1
奇瑞汽车,瑞虎8,1
一汽红旗,红旗HS5,1
一汽-大众奥迪,奥迪A4L,1
一汽大众,速腾,1
上汽大众,凌渡,2
一汽大众,捷达VS5,2
江铃汽车,驭胜S350,1
上汽大众,朗逸,1
一汽丰田,RAV4荣放,1
一汽大众,探岳,2
华晨宝马,宝马3系,1
东风英菲尼迪,英菲尼迪QX50,3
吉利汽车,帝豪GL,1
吉利汽车,帝豪GS,1
