,id,brand,car_model,type,desc,problem,datetime,status
0,573966,奔驰（进口）,奔驰E级（进口）,2021款 E 260 豪华型 运动版,进口奔驰E级新车出现发动机抖动熄火,"A24,A14,",2021-02-23,信息审核
1,573965,东风标致,标致308S,2015款 1.2T 自动 劲驰版,东风标致308S机油发黑导致发动机怠速不稳,"A198,H157,",2021-02-23,信息审核
2,573963,奇瑞汽车,瑞虎7,2016款 1.5T 手动 耀臻版,奇瑞瑞虎7仪表台和车门塑料件严重老化,"H157,",2021-02-23,信息审核
3,573961,一汽-大众,高尔夫,2011款 1.6 自动 时尚型,一汽大众高尔夫行驶中突然失去动力,"A255,",2021-02-23,信息审核
4,573954,上汽大众斯柯达,速派,2016款 TSI330 DSG 智行版,斯柯达速派变速箱机电控制单元出现故障,"B84,",2021-02-23,信息审核
5,573953,东风日产,轩逸,2016款 1.6XL 手动 豪华版 经典,东风日产轩逸发动机容易熄火希望厂家处理,"A14,",2021-02-23,信息审核
6,573951,华晨宝马,宝马3系,2018款 320Li 领先型M运动套装,华晨宝马3系车身出现共振和抖动一直未解决,"H268,",2021-02-23,信息审核
7,573950,奇瑞捷豹路虎,发现神行,2016款 2.0T SE,奇瑞捷豹路虎发现神行冷却水箱漏水,"A37,",2021-02-23,处理反馈
8,573948,广汽丰田,凯美瑞,2010款 240G 2.4 自动 豪华版,广汽丰田凯美瑞仪表台老化发粘而且有异味,"H185,H176,",2021-02-23,信息审核
9,573946,长安福特,探险者,2020款 EcoBoost 285 四驱 风尚版 6座,长安福特探险者行驶时出现车身共振,"H268,",2021-02-23,厂家受理
10,573944,东风日产,天籁,2019款 2.0T XV 智尊版,东风日产天籁车机互联功能无法使用,"M279,",2021-02-23,信息审核
11,573938,长安福特,翼虎,2015款 2.0L GTDi 四驱尊贵型 5座,长安福特翼虎经销商向厂家反馈情况不属实,"J299,",2021-02-23,厂家受理
12,573937,福田汽车,奥铃,2007款 BJ5049V8CEA-KA4,福田奥铃发动机内部螺栓脱落导致发动机损坏,"A136,A145,",2021-02-23,信息审核
13,573935,东风日产,轩逸,2021款 经典 1.6 XL 手动 豪华版,东风日产轩逸购买保养服务希望退款,"K308,",2021-02-23,信息审核
14,573934,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200时尚型,长安福特蒙迪欧变速箱漏油希望处理,"B22,",2021-02-23,厂家受理
15,573930,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L变速箱拖挡希望处理,"B69,",2021-02-23,信息审核
16,573929,广汽丰田,YARiS L 致享,2019款 1.5E CVT魅动版 国VI,广汽丰田致享高速行驶时方向盘无法回正,"D154,",2021-02-23,信息审核
17,573928,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧进气岐管有机油希望解决,"A12,",2021-02-23,厂家受理
18,573925,东风日产,轩逸,2016款 1.6XL CVT 尊享版,东风日产轩逸变速箱传感器开关故障故障灯亮,"B96,",2021-02-23,信息审核
